==========================================
SLURM_JOB_ID = 691528
SLURM_NODELIST = gnode061
SLURM_JOB_GPUS = 0,1,2,3
==========================================

Training config is located in `experiment_config.yaml`

Output directory:   /ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output
Training data:      data/rainbow_processed_128
Training duration:  25000 kimg
Number of GPUs:     2
Number of videos:   34525
Image resolution:   128
Conditional model:  False
Dataset x-flips:    True

Creating output directory...
Launching processes...
Loading training set...

Num videos:  69050
Image shape: [3, 128, 128]
Label shape: [0]

Constructing networks...
Resuming from "/ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output/network-snapshot-000000.pkl"
Setting up augmentation...
Distributing across 2 GPUs...
Setting up training phases...
Setting up PyTorch plugin "bias_act_plugin"... Done.
Setting up PyTorch plugin "upfirdn2d_plugin"... Done.
Initializing logs...
Training for 25000 kimg...

tick 62    kimg 312.6    time 53m 28s      sec/tick 51.2    sec/kimg 10.15   maintenance 0.0    cpumem 3.87   gpumem 6.09   augment 0.169
tick 63    kimg 317.6    time 54m 19s      sec/tick 51.3    sec/kimg 10.17   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.172
tick 64    kimg 322.7    time 55m 12s      sec/tick 52.1    sec/kimg 10.34   maintenance 0.0    cpumem 3.87   gpumem 6.12   augment 0.175
tick 65    kimg 327.7    time 56m 03s      sec/tick 51.8    sec/kimg 10.28   maintenance 0.0    cpumem 3.87   gpumem 6.11   augment 0.179
tick 66    kimg 332.7    time 56m 56s      sec/tick 52.2    sec/kimg 10.35   maintenance 0.0    cpumem 3.87   gpumem 6.11   augment 0.182
tick 67    kimg 337.8    time 57m 47s      sec/tick 51.5    sec/kimg 10.22   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.185
tick 68    kimg 342.8    time 58m 39s      sec/tick 51.5    sec/kimg 10.21   maintenance 0.1    cpumem 3.87   gpumem 6.10   augment 0.188
tick 69    kimg 347.9    time 59m 30s      sec/tick 51.6    sec/kimg 10.24   maintenance 0.0    cpumem 3.87   gpumem 6.10   augment 0.191
tick 70    kimg 352.9    time 1h 00m 22s   sec/tick 51.9    sec/kimg 10.31   maintenance 0.0    cpumem 3.87   gpumem 6.11   augment 0.194
tick 71    kimg 357.9    time 1h 01m 14s   sec/tick 51.6    sec/kimg 10.23   maintenance 0.0    cpumem 3.87   gpumem 6.11   augment 0.196
tick 72    kimg 363.0    time 1h 02m 05s   sec/tick 51.0    sec/kimg 10.11   maintenance 0.1    cpumem 3.87   gpumem 6.11   augment 0.200
tick 73    kimg 368.0    time 1h 02m 56s   sec/tick 51.3    sec/kimg 10.18   maintenance 0.1    cpumem 3.87   gpumem 6.11   augment 0.203
tick 74    kimg 373.1    time 1h 03m 47s   sec/tick 50.8    sec/kimg 10.09   maintenance 0.1    cpumem 3.87   gpumem 6.10   augment 0.206
tick 75    kimg 378.1    time 1h 04m 38s   sec/tick 50.8    sec/kimg 10.09   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.209
tick 76    kimg 383.1    time 1h 05m 29s   sec/tick 50.7    sec/kimg 10.06   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.212
tick 77    kimg 388.2    time 1h 06m 20s   sec/tick 51.0    sec/kimg 10.12   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.215
tick 78    kimg 393.2    time 1h 07m 11s   sec/tick 50.9    sec/kimg 10.09   maintenance 0.1    cpumem 3.88   gpumem 6.10   augment 0.218
tick 79    kimg 398.3    time 1h 08m 02s   sec/tick 51.1    sec/kimg 10.14   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.221
tick 80    kimg 403.3    time 1h 08m 53s   sec/tick 51.1    sec/kimg 10.15   maintenance 0.1    cpumem 3.88   gpumem 6.10   augment 0.224
tick 81    kimg 408.3    time 1h 09m 44s   sec/tick 51.1    sec/kimg 10.14   maintenance 0.1    cpumem 3.88   gpumem 6.10   augment 0.227
tick 82    kimg 413.4    time 1h 10m 36s   sec/tick 51.4    sec/kimg 10.20   maintenance 0.1    cpumem 3.88   gpumem 6.10   augment 0.229
tick 83    kimg 418.4    time 1h 11m 27s   sec/tick 51.4    sec/kimg 10.20   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.233
tick 84    kimg 423.5    time 1h 12m 19s   sec/tick 52.2    sec/kimg 10.35   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.236
